539185316318679040	Buenas noches a todos, menos a Tom Cruise, Hugh Grant, Cameron Diaz, los catalanes, los pelirrojos y Carmen Machi. &lt;3	gangsteroverall	306213399		2014-11-30 22:32:51	41.4593	2.24055	6
539185318067712000	@3EduBoada estic fotut tio, al 94… No m'ha semblat just… Però això és futbol. Demà tot segueix. Bona nit i enhorabona.	AlexBenito91	289553413	Barcelona, Cataluña	2014-11-30 22:32:52	41.386	2.05363	10
539185318399078400	@CarlosAuryn no sabes lo que te pierdes sin mis snapchats jajaja	1Dakaheroes	558960941	barcelona 	2014-11-30 22:32:52	41.3057	2.00669	10
539185339165065216	@tiko_f1 @francesca12_08 @MrAlexF1 @RobChinchero Sí que retiraron el 3er coche tras los 2 vuelos. Y el equipo era dirigido por AMG que ...	RaimonDuran	381691298	Based in Barcelona	2014-11-30 22:32:57	41.3941	2.1393	6
539185349910876160	Curso en @BCNANDCAKE !! Genial todo y todos muchas gracias organización y asistentes sois los mejores!!!!! http://t.co/6DwYVlv16n	LaGismero	463601969	Barcelona	2014-11-30 22:32:59	41.398	2.18397	10
539185365677277184	When I sleep all day ........ ?	Badgalrayyrayy	41513488	☪ ☪ ☪ ☪ ☪ ☪ ☪ ☪ ☪	2014-11-30 22:33:03	41.4022	2.15834	10
539185371729637376	Mañana mi profesor de TR se cabreará conmigo y dirá que no he hecho nada durante la semana y hoy he escrito como un negro esclavizado	xPeketkm	800408256		2014-11-30 22:33:04	41.3941	2.1393	6
539185397088411648	Ei @merceyellow com va el @valentisanjuan #UltramanHawaii tenim moltes ganes de rebre noticies vostres!!	urikpd	23080878	Barcelona	2014-11-30 22:33:10	41.3785	2.1357	6
539185400733261824	maaaacho que pesada yoli	larryisotp	735292604	Ⓐ ♀ / viva el pachangueo/ bcn	2014-11-30 22:33:11	41.4515	2.23201	10
539185402289352704	≈13,5 km (intensitat 50%, àrea 17%) - http://t.co/KzcbSLMH3a\
(30/11/14 23:33) #Barcelona #BCN http://t.co/tGPAdSv0eC	plujaBCN	2147483647	Barcelona, Espanya	2014-11-30 22:33:12	41.4	2.16667	10
539185410178416641	Hoy es uno de esos días en los que pasaría el día entero contigo, acostados en el sofá,… http://t.co/OejRfEEadb	Raulitow6	545853989		2014-11-30 22:33:14	41.4284	2.17397	10
539185429782999040	@annascup @jxsusgrams maybe i'll too someday :D	CreepyPlutonium	1369203290	youtube business.	2014-11-30 22:33:18	41.3941	2.1393	6
539185459210256385	31. Adoro la navidad.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:33:25	41.3243	2.01288	10
539185465535242240	Gooool @MOTAGUAcom de mi ???	Filandiaz	57348166	Barcelona	2014-11-30 22:33:27	41.3815	2.16638	10
539185475152773121	SUPER OP jajajaja http://t.co/GqOP6qdHZm	broaaso	2147483647		2014-11-30 22:33:29	41.4727	2.08761	10
539185496233349121	@jokelander @arrosabanda doncs el merit tambe es seu.....	JavierBcn72	600799151	Barcelona	2014-11-30 22:33:34	41.4044	2.19831	10
539185499634925568	Necesito encontrar algo que me distraiga lo suficiente como para dejar de sentirme así	UteroDeGato	2147483647	vegania	2014-11-30 22:33:35	41.4121	2.21973	10
539185505758638082	@As_TomasRoncero Te invito a mi casa para que me comas los huevos merengue reprimido.	xPeketkm	800408256		2014-11-30 22:33:36	41.3941	2.1393	6
539185522036707329	Acabando la semana con la espectacular Grace Jones!! #gracejones #postmodern #styleicon  http://t.co/sKZ2rMClju	med_blick	523337674	Barcelona, Spain	2014-11-30 22:33:40	41.3964	2.14933	10
539185536788074496	@tiko_f1 @francesca12_08 @MrAlexF1 @RobChinchero ... entonces no era Mercedes a pesar de trabajar para ellos. De hecho pasó a Merc en 1999.	RaimonDuran	381691298	Based in Barcelona	2014-11-30 22:33:44	41.3941	2.1393	6
539185539078160385	El FAGC denuncia El Corte Inglés per vulnerar la llei contra l’homofòbia - http://t.co/Lnmf75qSvr http://t.co/SimFRT0ccO #CorteIngléscaspa	lavirolai	288290562	Catalunya	2014-11-30 22:33:44	41.4052	2.17318	10
539185548058198017	"Illo Vulcano, tu mujer te pone los cuernos con Marte" Mi RT	thebadluck	43313684	Rapture (BCN)	2014-11-30 22:33:46	41.3941	2.1393	6
539185552156016640	No me gusta esto	UteroDeGato	2147483647	vegania	2014-11-30 22:33:47	41.4121	2.21975	10
539185561463164930	Dominos Pizza o telepizza?	DaniSrVendetta	976605506	Aquí.	2014-11-30 22:33:50	41.3941	2.1393	6
539185619017424897	Cuando me abrazas con tanta fuerza, como si quisieras romperme, en realidad me estás arreglando... http://t.co/4WKObcQ4ch	raquelcruuz	1058294600	¡Judoka Catalana! 	2014-11-30 22:34:03	41.4306	2.17689	10
539185634293075968	No me gusta nada, absolutamente nada esto	UteroDeGato	2147483647	vegania	2014-11-30 22:34:07	41.4122	2.21975	10
539185649208025088	Si te opines u opinas diferente en Cataluña te llaman facha. Son los demócratas. http://t.co/tJ5iTifOWw	damafont	855958782		2014-11-30 22:34:11	41.4016	2.13439	10
539185650608926720	32. Me gustan las pelis rollo de amor, adolescentes y esas cosas.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:34:11	41.3243	2.01289	10
539185662705303552	Fall asleep in November and wake up in December ❤ http://t.co/NKDJTjzEIa	AUrretavizcaya	709357572	Barcelona	2014-11-30 22:34:14	41.3836	2.13821	10
539185681705472001	@guillemito95 No conozco ningún jugador llamdo Vermaelen,a mi me suena a un atraco	4jjhr	301971264		2014-11-30 22:34:18	41.4593	2.24055	6
539185683358052354	Soy una hater, pero me encanta.	electraheart_x	156222024	Barcelona.	2014-11-30 22:34:19	41.4937	2.35595	10
539185729667366912	Otra vez los vecinos..	agusrodriguez9_	550618567	Montevideo	2014-11-30 22:34:30	41.4395	2.21739	10
539185739058380800	Puede ser botellazo a Messi o Amarilla a Messi por agredir a una botella http://t.co/WWbSFJljCI	DavidPereiraRey	398781044		2014-11-30 22:34:32	41.3091	2.00082	10
539185739612049408	??????????	JosEnriqueLluch	289914123		2014-11-30 22:34:32	41.4395	2.15848	10
539185761028145153	@oscar_puente_ @nortecastilla vamos!!!	jpinedolequeux	116175607	Madrid	2014-11-30 22:34:37	41.3851	2.13289	10
539185761086889985	@carlosAuryn ya q me he echo snapchat por ti mañana me hare una foto con mi disco Circus Avenue bona nit ?	alba_fanauryn	2147483647		2014-11-30 22:34:37	41.3727	2.05749	10
539185768787615744	es que yo entiendo la parte de jonathan porque joder no se quiere comprometer pero tampoco sabe hacerle el feo a la gente	larryisotp	735292604	Ⓐ ♀ / viva el pachangueo/ bcn	2014-11-30 22:34:39	41.4515	2.232	10
539185777398538240	Si mi Beautifly no lanza un tornado con un Milktank, no es un buen tornado.	Bara_Alvarez	294056975	En las hierbas de botlane	2014-11-30 22:34:41	41.3583	2.11188	6
539185805303250944	باقي الإتحاد |!~	jamal7fcb	264638841	Barcelona 	2014-11-30 22:34:48	41.3941	2.1393	6
539185809732419586	Sentimos el caos de hoy en #CámaraDeLLamadas, es nuestro debut de la temporada ;). La semana que viene, más y mejor :) (peor no gracias xD)	eltartngallego	1387982528	Galicia	2014-11-30 22:34:49	41.3941	2.1393	6
539185811481432064	QUE VAN A HACER HARRY POTTER MUY PRONTO	1Dakaheroes	558960941	barcelona 	2014-11-30 22:34:49	41.3057	2.00671	10
539185833308594177	Jajajaja! Miguel Bosé suerte que has envejecido! ❤️ you #cachitosModa @cachitos_tve #MiguelBose	SuPeRBiBLioS	14974348	barcelona\
	2014-11-30 22:34:54	41.4352	2.18546	10
539185840526991360	Hola @BorjaEstrada sabemos algo de los #sanjuanes ?? #UltramanHawaii @valentisanjuan @merceyellow yo tb voto por el chester @ristomedije	urikpd	23080878	Barcelona	2014-11-30 22:34:56	41.3785	2.1357	6
539185843089707008	@MikuChinatsu @TheDarkGameOri Hazle un 68. Tu se la chupas y el te debe una. (?)	xPeketkm	800408256		2014-11-30 22:34:57	41.3941	2.1393	6
539185868951805952	ME OIS GRITAR	1Dakaheroes	558960941	barcelona 	2014-11-30 22:35:03	41.3057	2.00671	10
539185894625116160	lmao i forgot i have blue make up all over my face	mymanjeremy	2147483647	trash	2014-11-30 22:35:09	41.3941	2.1393	6
539185897439522816	Llegó el 1600 de @patryyfrank	patryyfrank	2147483647	http://blog.patryyfrank.com/	2014-11-30 22:35:10	41.3941	2.1393	6
539185911263928321	No soy del Barça pero hoy se han pasado tela con los culés.. gol anulado a Suárez que era legal,  el botellazo a Messi y encima amarilla	VeroBethika	1938787327	Barcelona 	2014-11-30 22:35:13	41.3802	2.1676	10
539185921481261056	@MagiaPokemon Goomynasai	Kloruro	2147483647	En twitter.	2014-11-30 22:35:15	41.4791	2.31661	10
539185949675376640	@horanftnouis me!	1Dakaheroes	558960941	barcelona 	2014-11-30 22:35:22	41.3057	2.00664	10
539185954234593280	@Fermi_Fdes Però al final, quan venía el Rajoy?	FrancescColet	310274499	27S Catalunya cap un Nou Estat	2014-11-30 22:35:23	41.3857	2.15132	10
539185969497645056	33. Teletubis eran la polla.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:35:27	41.3243	2.0129	10
539185981929574400	Ay tío que bonito	Paulacha7	181175093	The Vamps - Bieber.	2014-11-30 22:35:30	41.5005	2.03421	10
539185982999126016	@JlasePKMN Hola.	Kloruro	2147483647	En twitter.	2014-11-30 22:35:30	41.4791	2.31661	10
539185992490827776	@immaaguilar @rafarubio Hola Imma, te haría una pregunta,¿Tu crees que es necesario el Senado? Con una asamblea , o cortes era suficiente.	porcuna47	2147483647	Montcada I Rexach-Barcelona	2014-11-30 22:35:32	41.3941	2.1393	6
539185996924219393	@jordisanuy Sigo esperando tu Messi BR	xPeketkm	800408256		2014-11-30 22:35:33	41.3941	2.1393	6
539186016478068736	@MarshalAfterAll @CexarConnolly Lo sé XD	Bara_Alvarez	294056975	En las hierbas de botlane	2014-11-30 22:35:38	41.3583	2.11188	6
539186022295552001	Unser #Adventskalender steht schöne #Weihnachtszeit ???\
#Advent #Weihnachten \
#navidad #nadal @… http://t.co/PsJxbN0tMk	MariLicht	270091371	Europa / Catalunya	2014-11-30 22:35:39	41.4132	2.17922	10
539186023906177024	will middleboxes push end systems to invent new (and probably less efficient) Internet protocols?	pabloryr	764953	Barcelona	2014-11-30 22:35:40	41.3941	2.1393	6
539186027924324353	Quizás no importa el sitio.	lauradavins_	165753323	 Barcelona	2014-11-30 22:35:41	41.4098	2.15887	10
539186059775840257	+illoh Rin dile argo\
-Argo	xPeketkm	800408256		2014-11-30 22:35:48	41.3941	2.1393	6
539186062099513344	ESTA NAVIDAD QUE NO OS FALTE NUESTRO TIÓ\
http://t.co/IKYU0qKMfY http://t.co/4KMI0njv4k	bosquesdbroxes	2147483647	Barcelona	2014-11-30 22:35:49	41.3941	2.1393	6
539186069078818816	Que una serie me guste tanto como para volverla a ver desde el principio, solo pasa con PLL #nowords #pll	94laurelaure	560423544	Hospitalet Ll. - Platja d'Aro	2014-11-30 22:35:51	41.3704	2.11914	10
539186070546837504	Cocodrilo DanPhil	refxyh	558164649		2014-11-30 22:35:51	41.3941	2.1393	6
539186142818885632	@CarlosAuryn enviándote una foto chupándome un pie me he hecho polvo jajajajaja	1Dakaheroes	558960941	barcelona 	2014-11-30 22:36:08	41.3057	2.00664	10
539186145817812992	34. Juego a los sims. ?	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:36:09	41.3243	2.01289	10
539186199119032321	@ATMPREFERENTE @marta_gomez11 vamos!!!. Felicidades por la victoria!!.	AnaPizarro97	985380410	Hogwarts	2014-11-30 22:36:22	41.416	2.20293	10
539186210334572544	@ristomejide Buenísima la entrevistas deCruyff eso si es ética y sincenridad sin perder la Clase	blanca_bffg1953	2147483647		2014-11-30 22:36:24	41.4131	2.19999	10
539186230769250304	@MagiaPokemon Ya lo hago, ¿no es suficiente?	Kloruro	2147483647	En twitter.	2014-11-30 22:36:29	41.4791	2.31661	10
539186233084489728	Tan normal ir al chino y encontrarte esto.. JAJAJAJAJAJJA http://t.co/EhOvbGzZgx	unkeptpromises_	1275836160	Grieta del Invocador.	2014-11-30 22:36:30	41.4121	2.17914	10
539186255813435393	quick to say "i love you"	limontjik	90943056		2014-11-30 22:36:35	41.3885	2.19534	10
539186274121572352	35. Si mis ídolos son los mejores lo digo.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:36:40	41.3243	2.01288	10
539186282866692098	Caminar a estas horas por delante del insti no mola..quiero dormir jo??	mmmaliia	185190097	Barcelona	2014-11-30 22:36:42	41.4184	2.19973	10
539186305297813504	José.	Kloruro	2147483647	En twitter.	2014-11-30 22:36:47	41.4791	2.31661	10
539186307701145602	@As_TomasRoncero gordo tu tampoco te metas gafe de mierda.	JoanSJ_	1344395077	Barcelona, Catalunya	2014-11-30 22:36:48	41.3941	2.1393	6
539186317863972865	@Pereira_FC @motorpasionf1 una pena... Era muy fan...	juncadellalvaro	480802468	Barcelona	2014-11-30 22:36:50	41.3935	2.14248	10
539186343889616896	Fall asleep in November and wake up in December ❤ http://t.co/aXWBDdLubF	AUrretavizcaya	709357572	Barcelona	2014-11-30 22:36:56	41.3941	2.1393	6
539186358687125504	@Wismichu venteee al estreno de @Auron0 el 22 ???	IvanTavira	925309380	Barcelona-Hospitalet	2014-11-30 22:37:00	41.3625	2.09704	10
539186376840065025	Yo esta mañana he visto una chica que traía cara de haber hecho arroz...o de haber echado un buen polvo. No se pero se la veía feliz	Carol_Raval	242511903	Ravalkistán (Barcelona) 	2014-11-30 22:37:04	41.3782	2.17305	6
539186379071434752	En un cap de setmana ple d'aigua,zubi segueix sense mullar-se	4jjhr	301971264		2014-11-30 22:37:05	41.4593	2.24055	6
539186386306629633	No es lo mismo decir voy a ir a un concierto de los KISS que decir he follado en un concierto de los KISS.	gangsteroverall	306213399		2014-11-30 22:37:06	41.4593	2.24055	6
539186400332378112	Lo que no encuentro normal es que los ultras queden para darse de ostias antes del partido.\
#JimmyDEP #AtleticoDeportivo	MartiGarcia4	634486121		2014-11-30 22:37:10	41.4691	2.07857	10
539186418133004288	Somos nubes, no más.	lauradavins_	165753323	 Barcelona	2014-11-30 22:37:14	41.4099	2.15883	10
539186422251814912	Quina il·lusió trobar coses que creies perdudes i són sentimentalment molt importants #nanit #ambsomriure	GtmAna	398490367	Barcelona	2014-11-30 22:37:15	41.4238	2.1841	10
539186436806025216	@horanftnouis merilm_	1Dakaheroes	558960941	barcelona 	2014-11-30 22:37:18	41.3057	2.00666	10
539186440106934272	"Damon: Out for a drive. I needed some space. It's not me, it's you." HE NEVER FAILS TO MAKE ME LAUGH	icyrusdobrev	120473540	Barcelona	2014-11-30 22:37:19	41.3941	2.1393	6
539186475536232449	@sergiolohan_ me he levantao y he ido a la tele del comedor para ver que coño veía mi madre con lana del rey, y sí, era GH XD	CreepyPlutonium	1369203290	youtube business.	2014-11-30 22:37:28	41.3941	2.1393	6
539186489578749953	@VCFMurcielago  nada decir que el barça ha ganado JUSTAMENTE y eso JAJAJJAJAJAJAJA permite que me ría VAMOS!!! visca el barça!!	ismaelpouaty	305473558	Saturno 	2014-11-30 22:37:31	41.4417	2.22744	10
539186543152611329	Enorme El Objetivo hoy con @_anapastor_ .Da miedo pero nos mantiene alertas y sobre todo nos hace pensar y eso siempre es bueno. Gracias Ana	jpinedolequeux	116175607	Madrid	2014-11-30 22:37:44	41.3851	2.13289	10
539186554431102976	35. Quiero abrazarles y no soltarles nunca.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:37:46	41.3243	2.01287	10
539186588484640769	Em quedo gelada..bons testimonis avui '@_anapastor_:En pocos meses estas chicas pasan del bikini al Nicab o al velo integral' #ObjetivoYihad	marinahospital	271483781	Badalona, Catalunya	2014-11-30 22:37:54	41.4465	2.24857	10
539186589201887233	No entiendo porque grandes personas viven lejos de mi. No lo entiendo	VeroBethika	1938787327	Barcelona 	2014-11-30 22:37:55	41.3802	2.16761	10
539186590007193600	@UnCuleEnCadiz @guillemito95 Hablas de un brasileño?	4jjhr	301971264		2014-11-30 22:37:55	41.4593	2.24055	6
